algoritme,score,housecount,water
Random,23841075.0,60,2
algoritme,score,housecount,water
Random,23765205.0,60,2
algoritme,score,housecount,water
Random,23999250.0,60,2
algoritme,score,housecount,water
Random,23886180.0,60,2
algoritme,score,housecount,water
Random,24161355.0,60,2
algoritme,score,housecount,water
Random,24338520.0,60,2
algoritme,score,housecount,water
Random,23888070.0,60,2
algoritme,score,housecount,water
Random,23626140.0,60,2
algoritme,score,housecount,water
Random,23688255.0,60,2
algoritme,score,housecount,water
Random,24019290.0,60,2
algoritme,score,housecount,water
Random,23894325.0,60,2
algoritme,score,housecount,water
Random,23840175.0,60,2
algoritme,score,housecount,water
Random,23792445.0,60,2
algoritme,score,housecount,water
Random,23571285.0,60,2
algoritme,score,housecount,water
Random,24223800.0,60,2
algoritme,score,housecount,water
Random,24234945.0,60,2
algoritme,score,housecount,water
Random,24061950.0,60,3
algoritme,score,housecount,water
Random,24456015.0,60,2
algoritme,score,housecount,water
Random,24090825.0,60,2
algoritme,score,housecount,water
Random,24213255.0,60,2
algoritme,score,housecount,water
Random,23840340.0,60,2
algoritme,score,housecount,water
Random,23746830.0,60,2
algoritme,score,housecount,water
Random,23949810.0,60,2
algoritme,score,housecount,water
Random,24316770.0,60,2
algoritme,score,housecount,water
Random,24191325.0,60,2
algoritme,score,housecount,water
Random,23756205.0,60,2
algoritme,score,housecount,water
Random,24671535.0,60,2
algoritme,score,housecount,water
Random,24044145.0,60,2
algoritme,score,housecount,water
Random,23870205.0,60,2
algoritme,score,housecount,water
Random,23549010.0,60,2
