algoritme,score,housecount
Random,16962840.0,40
algoritme,score,housecount
Random,17213610.0,40
algoritme,score,housecount
Random,16227900.0,40
algoritme,score,housecount
Random,17493360.0,40
algoritme,score,housecount
Random,16975590.0,40
algoritme,score,housecount
Random,16839015.0,40
algoritme,score,housecount
Random,16647450.0,40
algoritme,score,housecount
Random,17207265.0,40
algoritme,score,housecount
Random,16546290.0,40
algoritme,score,housecount
Random,17413260.0,40
algoritme,score,housecount
Random,17388345.0,40
algoritme,score,housecount
Random,16979730.0,40
algoritme,score,housecount
Random,16550925.0,40
algoritme,score,housecount
Random,17386380.0,40
algoritme,score,housecount
Random,16806315.0,40
algoritme,score,housecount
Random,17045250.0,40
algoritme,score,housecount
Random,17008515.0,40
algoritme,score,housecount
Random,16790535.0,40
algoritme,score,housecount
Random,16910025.0,40
algoritme,score,housecount
Random,16438020.0,40
algoritme,score,housecount
Random,16732245.0,40
algoritme,score,housecount
Random,16751400.0,40
algoritme,score,housecount
Random,17341515.0,40
algoritme,score,housecount
Random,16653375.0,40
algoritme,score,housecount
Random,17234055.0,40
algoritme,score,housecount
Random,16839570.0,40
algoritme,score,housecount
Random,16923960.0,40
algoritme,score,housecount
Random,17076555.0,40
algoritme,score,housecount
Random,16921185.0,40
algoritme,score,housecount
Random,16661535.0,40
algoritme,score,housecount
Random,16743030.0,40
algoritme,score,housecount
Random,17306925.0,40
algoritme,score,housecount
Random,16561035.0,40
algoritme,score,housecount
Random,17394225.0,40
algoritme,score,housecount
Random,16756500.0,40
algoritme,score,housecount
Random,17097870.0,40
algoritme,score,housecount
Random,16812690.0,40
algoritme,score,housecount
Random,16754370.0,40
algoritme,score,housecount
Random,16475025.0,40
algoritme,score,housecount
Random,17224110.0,40
algoritme,score,housecount
Random,16829445.0,40
algoritme,score,housecount
Random,17158020.0,40
algoritme,score,housecount
Random,16622565.0,40
algoritme,score,housecount
Random,16930095.0,40
algoritme,score,housecount
Random,16742280.0,40
algoritme,score,housecount
Random,16485915.0,40
algoritme,score,housecount
Random,17641980.0,40
algoritme,score,housecount
Random,17015745.0,40
algoritme,score,housecount
Random,17415090.0,40
algoritme,score,housecount
Random,16885125.0,40
algoritme,score,housecount
Random,17028120.0,40
algoritme,score,housecount
Random,17848110.0,40
algoritme,score,housecount
Random,16725930.0,40
algoritme,score,housecount
Random,16715970.0,40
algoritme,score,housecount
Random,17003565.0,40
algoritme,score,housecount
Random,17421075.0,40
algoritme,score,housecount
Random,16970835.0,40
algoritme,score,housecount
Random,17089590.0,40
algoritme,score,housecount
Random,16619565.0,40
algoritme,score,housecount
Random,17586255.0,40
algoritme,score,housecount
Random,17317845.0,40
algoritme,score,housecount
Random,16974540.0,40
algoritme,score,housecount
Random,17964615.0,40
algoritme,score,housecount
Random,17134605.0,40
algoritme,score,housecount
Random,16475730.0,40
algoritme,score,housecount
Random,16928205.0,40
algoritme,score,housecount
Random,16900650.0,40
algoritme,score,housecount
Random,16976685.0,40
algoritme,score,housecount
Random,16972680.0,40
algoritme,score,housecount
Random,17069190.0,40
algoritme,score,housecount
Random,16962090.0,40
algoritme,score,housecount
Random,17077350.0,40
algoritme,score,housecount
Random,17027445.0,40
algoritme,score,housecount
Random,16458750.0,40
algoritme,score,housecount
Random,17158395.0,40
algoritme,score,housecount
Random,16491630.0,40
algoritme,score,housecount
Random,17411730.0,40
algoritme,score,housecount
Random,17011350.0,40
algoritme,score,housecount
Random,17253660.0,40
algoritme,score,housecount
Random,17504250.0,40
algoritme,score,housecount
Random,16723680.0,40
algoritme,score,housecount
Random,17029395.0,40
algoritme,score,housecount
Random,17294070.0,40
algoritme,score,housecount
Random,16778130.0,40
algoritme,score,housecount
Random,16950315.0,40
algoritme,score,housecount
Random,16589865.0,40
algoritme,score,housecount
Random,17284935.0,40
algoritme,score,housecount
Random,17066775.0,40
algoritme,score,housecount
Random,17078265.0,40
algoritme,score,housecount
Random,17048970.0,40
algoritme,score,housecount
Random,16617480.0,40
algoritme,score,housecount
Random,16651965.0,40
algoritme,score,housecount
Random,16168410.0,40
algoritme,score,housecount
Random,16981170.0,40
algoritme,score,housecount
Random,16455405.0,40
algoritme,score,housecount
Random,16853895.0,40
algoritme,score,housecount
Random,16655430.0,40
algoritme,score,housecount
Random,16811175.0,40
algoritme,score,housecount
Random,16997940.0,40
algoritme,score,housecount
Random,17830320.0,40
algoritme,score,housecount
Random,16753260.0,40
algoritme,score,housecount
Random,16936680.0,40
algoritme,score,housecount
Random,17257500.0,40
algoritme,score,housecount
Random,17917440.0,40
algoritme,score,housecount
Random,16612890.0,40
algoritme,score,housecount
Random,17341725.0,40
algoritme,score,housecount
Random,16803660.0,40
algoritme,score,housecount
Random,16668570.0,40
algoritme,score,housecount
Random,17362485.0,40
algoritme,score,housecount
Random,16854360.0,40
algoritme,score,housecount
Random,16713225.0,40
algoritme,score,housecount
Random,16755075.0,40
algoritme,score,housecount
Random,17123160.0,40
algoritme,score,housecount
Random,17239035.0,40
algoritme,score,housecount
Random,16863120.0,40
algoritme,score,housecount
Random,17036040.0,40
algoritme,score,housecount
Random,17042460.0,40
algoritme,score,housecount
Random,17648415.0,40
algoritme,score,housecount
Random,17385075.0,40
algoritme,score,housecount
Random,16784775.0,40
algoritme,score,housecount
Random,17333640.0,40
algoritme,score,housecount
Random,16451160.0,40
algoritme,score,housecount
Random,17069235.0,40
algoritme,score,housecount
Random,16723995.0,40
