algoritme,score,housecount,water
Random,24257370.0,60,"[[55, 236, 183, 173], [19, 105, 227, 33]]"
algoritme,score,housecount,water
Random,24054570.0,60,"[[51, 225, 339, 145]]"
algoritme,score,housecount,water
Random,23617710.0,60,"[[100, 319, 292, 199]]"
algoritme,score,housecount,water
Random,23392845.0,60,"[[26, 312, 191, 232], [27, 154, 150, 74]]"
algoritme,score,housecount,water
Random,24161160.0,60,"[[232, 112, 243, 71], [117, 262, 298, 212], [143, 50, 318, 5], [76, 192, 135, 96]]"
algoritme,score,housecount,water
Random,23610855.0,60,"[[92, 144, 332, 48]]"
algoritme,score,housecount,water
Random,23817720.0,60,"[[195, 284, 307, 234], [150, 199, 259, 39]]"
algoritme,score,housecount,water
Random,24085455.0,60,"[[209, 260, 299, 174], [109, 121, 262, 21]]"
algoritme,score,housecount,water
Random,23930730.0,60,"[[97, 274, 289, 154]]"
algoritme,score,housecount,water
Random,23998710.0,60,"[[223, 163, 345, 80], [19, 192, 93, 71], [194, 54, 293, 14]]"
algoritme,score,housecount,water
Random,23709990.0,60,"[[227, 235, 347, 113], [74, 242, 179, 162]]"
algoritme,score,housecount,water
Random,24226215.0,60,"[[128, 216, 248, 24]]"
algoritme,score,housecount,water
Random,23761905.0,60,"[[242, 292, 322, 4]]"
algoritme,score,housecount,water
Random,23934195.0,60,"[[143, 167, 323, 39]]"
algoritme,score,housecount,water
Random,23666190.0,60,"[[242, 212, 332, 28], [147, 207, 185, 143], [135, 308, 227, 264]]"
algoritme,score,housecount,water
Random,23699220.0,60,"[[86, 171, 266, 43]]"
algoritme,score,housecount,water
Random,23734530.0,60,"[[70, 100, 168, 13], [172, 144, 295, 26]]"
algoritme,score,housecount,water
Random,23542335.0,60,"[[11, 304, 299, 224]]"
algoritme,score,housecount,water
Random,23442150.0,60,"[[60, 190, 252, 70]]"
algoritme,score,housecount,water
Random,23463420.0,60,"[[35, 271, 227, 151]]"
algoritme,score,housecount,water
Random,24449865.0,60,"[[15, 221, 69, 154], [48, 120, 54, 98], [76, 140, 196, 10], [207, 191, 297, 150]]"
algoritme,score,housecount,water
Random,23537955.0,60,"[[194, 296, 346, 158], [92, 56, 178, 32]]"
algoritme,score,housecount,water
Random,23863425.0,60,"[[99, 210, 259, 66]]"
algoritme,score,housecount,water
Random,23632740.0,60,"[[16, 126, 109, 6], [136, 264, 268, 174]]"
algoritme,score,housecount,water
Random,23637660.0,60,"[[36, 313, 207, 179], [20, 15, 38, 8]]"
algoritme,score,housecount,water
Random,23796240.0,60,"[[28, 189, 188, 45]]"
algoritme,score,housecount,water
Random,23610150.0,60,"[[58, 296, 218, 152]]"
algoritme,score,housecount,water
Random,23855820.0,60,"[[313, 131, 339, 119], [53, 198, 137, 116], [15, 47, 138, 14], [112, 303, 265, 226]]"
algoritme,score,housecount,water
Random,24089850.0,60,"[[104, 319, 360, 229]]"
algoritme,score,housecount,water
Random,23842425.0,60,"[[111, 60, 142, 14], [128, 313, 224, 271], [229, 274, 347, 125]]"
algoritme,score,housecount,water
Random,23708880.0,60,"[[39, 230, 231, 120], [323, 118, 353, 54]]"
algoritme,score,housecount,water
Random,23581935.0,60,"[[144, 237, 304, 93]]"
algoritme,score,housecount,water
Random,23652105.0,60,"[[169, 172, 230, 120], [45, 298, 158, 174], [188, 239, 284, 178]]"
algoritme,score,housecount,water
Random,23863320.0,60,"[[99, 268, 203, 155], [245, 145, 328, 9]]"
algoritme,score,housecount,water
Random,24474870.0,60,"[[213, 311, 303, 55]]"
algoritme,score,housecount,water
Random,24487095.0,60,"[[107, 258, 287, 130]]"
algoritme,score,housecount,water
Random,23716365.0,60,"[[179, 199, 355, 73], [178, 300, 202, 264]]"
algoritme,score,housecount,water
Random,23906535.0,60,"[[213, 222, 357, 62]]"
algoritme,score,housecount,water
Random,23669610.0,60,"[[139, 66, 187, 22], [8, 307, 204, 211], [95, 132, 106, 102], [158, 131, 224, 104]]"
algoritme,score,housecount,water
Random,23333115.0,60,"[[10, 147, 170, 3]]"
algoritme,score,housecount,water
Random,23829465.0,60,"[[135, 291, 255, 99]]"
algoritme,score,housecount,water
Random,23868675.0,60,"[[37, 280, 157, 88]]"
algoritme,score,housecount,water
Random,23274585.0,60,"[[28, 240, 188, 96]]"
algoritme,score,housecount,water
Random,24030510.0,60,"[[25, 131, 313, 51]]"
algoritme,score,housecount,water
Random,24620610.0,60,"[[148, 90, 353, 36], [178, 234, 311, 144]]"
algoritme,score,housecount,water
Random,23955885.0,60,"[[42, 317, 186, 157]]"
algoritme,score,housecount,water
Random,23772540.0,60,"[[82, 215, 129, 157], [283, 166, 347, 57], [55, 113, 163, 27], [215, 154, 265, 73]]"
algoritme,score,housecount,water
Random,23480145.0,60,"[[201, 307, 291, 51]]"
algoritme,score,housecount,water
Random,24064590.0,60,"[[188, 289, 343, 207], [270, 114, 333, 55], [151, 45, 153, 39], [90, 170, 131, 9]]"
algoritme,score,housecount,water
Random,23902590.0,60,"[[88, 253, 232, 93]]"
algoritme,score,housecount,water
Random,23581650.0,60,"[[204, 94, 255, 76], [162, 270, 323, 133], [259, 100, 272, 95]]"
algoritme,score,housecount,water
Random,24594090.0,60,"[[51, 254, 123, 227], [47, 122, 112, 31], [156, 254, 244, 121], [156, 89, 213, 28]]"
algoritme,score,housecount,water
Random,24240195.0,60,"[[130, 160, 310, 32]]"
algoritme,score,housecount,water
Random,23794920.0,60,"[[27, 271, 123, 31]]"
algoritme,score,housecount,water
Random,23879625.0,60,"[[42, 269, 330, 189]]"
algoritme,score,housecount,water
Random,23887470.0,60,"[[327, 49, 344, 13], [97, 316, 349, 227]]"
algoritme,score,housecount,water
Random,23888805.0,60,"[[169, 274, 349, 146]]"
algoritme,score,housecount,water
Random,23327235.0,60,"[[258, 187, 330, 145], [12, 310, 83, 134], [142, 126, 236, 46]]"
algoritme,score,housecount,water
Random,23941590.0,60,"[[136, 161, 152, 147], [13, 159, 125, 72], [65, 289, 207, 219], [277, 227, 313, 140]]"
algoritme,score,housecount,water
Random,23634750.0,60,"[[76, 297, 220, 137]]"
algoritme,score,housecount,water
Random,24101370.0,60,"[[19, 71, 189, 1], [25, 314, 109, 213], [108, 211, 140, 128]]"
algoritme,score,housecount,water
Random,23349255.0,60,"[[86, 227, 172, 7], [277, 300, 342, 252], [203, 291, 228, 251]]"
algoritme,score,housecount,water
Random,23786955.0,60,"[[111, 292, 255, 132]]"
algoritme,score,housecount,water
Random,23798745.0,60,"[[205, 252, 247, 234], [18, 279, 39, 239], [257, 191, 318, 119], [54, 295, 201, 179]]"
algoritme,score,housecount,water
Random,24276495.0,60,"[[6, 300, 134, 120]]"
algoritme,score,housecount,water
Random,24329685.0,60,"[[147, 251, 201, 156], [21, 191, 96, 38], [249, 151, 294, 8]]"
algoritme,score,housecount,water
