sep=,
tijd 115.45699858665466
algoritme,score,housecount
Random,28052250.0,60
algoritme,score,housecount
Random,27975870.0,60
algoritme,score,housecount
Random,27068970.0,60
algoritme,score,housecount
Random,27689100.0,60
algoritme,score,housecount
Random,28035420.0,60
algoritme,score,housecount
Random,27773490.0,60
algoritme,score,housecount
Random,27335460.0,60
algoritme,score,housecount
Random,27937140.0,60
algoritme,score,housecount
Random,27179430.0,60
algoritme,score,housecount
Random,30790740.0,60
algoritme,score,housecount
Random,30566460.0,60
algoritme,score,housecount
Random,30367140.0,60
algoritme,score,housecount
Random,28810620.0,60
algoritme,score,housecount
Random,28285740.0,60
algoritme,score,housecount
Random,30988140.0,60
algoritme,score,housecount
Random,28265040.0,60
algoritme,score,housecount
Random,27597930.0,60
algoritme,score,housecount
Random,29750340.0,60
algoritme,score,housecount
Random,28879950.0,60
algoritme,score,housecount
Random,30897150.0,60
algoritme,score,housecount
Random,28955250.0,60
algoritme,score,housecount
Random,27018750.0,60
algoritme,score,housecount
Random,34397880.0,60
algoritme,score,housecount
Random,30215070.0,60
algoritme,score,housecount
Random,28005030.0,60
algoritme,score,housecount
Random,29024850.0,60
algoritme,score,housecount
Random,28360530.0,60
algoritme,score,housecount
Random,30413670.0,60
algoritme,score,housecount
Random,30358950.0,60
algoritme,score,housecount
Random,27961050.0,60
algoritme,score,housecount
Random,30873540.0,60
algoritme,score,housecount
Random,28743600.0,60
algoritme,score,housecount
Random,28073610.0,60
algoritme,score,housecount
Random,31611570.0,60
algoritme,score,housecount
Random,26686620.0,60
algoritme,score,housecount
Random,31350420.0,60
algoritme,score,housecount
Random,27951900.0,60
algoritme,score,housecount
Random,31125690.0,60
algoritme,score,housecount
Random,26616300.0,60
algoritme,score,housecount
Random,29172150.0,60
algoritme,score,housecount
Random,27413370.0,60
algoritme,score,housecount
Random,30539040.0,60
algoritme,score,housecount
Random,31668150.0,60
algoritme,score,housecount
Random,29661030.0,60
algoritme,score,housecount
Random,26665230.0,60
algoritme,score,housecount
Random,28008540.0,60
algoritme,score,housecount
Random,27250140.0,60
algoritme,score,housecount
Random,28310130.0,60
algoritme,score,housecount
Random,31702380.0,60
algoritme,score,housecount
Random,27760860.0,60
algoritme,score,housecount
Random,27605100.0,60
algoritme,score,housecount
Random,27485160.0,60
algoritme,score,housecount
Random,29579250.0,60
algoritme,score,housecount
Random,27740070.0,60
algoritme,score,housecount
Random,27693420.0,60
algoritme,score,housecount
Random,28601550.0,60
algoritme,score,housecount
Random,29909820.0,60
algoritme,score,housecount
Random,28067520.0,60
algoritme,score,housecount
Random,29310720.0,60
algoritme,score,housecount
Random,28113870.0,60
algoritme,score,housecount
Random,30987270.0,60
algoritme,score,housecount
Random,30095040.0,60
algoritme,score,housecount
Random,26845590.0,60
algoritme,score,housecount
Random,30661920.0,60
algoritme,score,housecount
Random,27635330.0,60
algoritme,score,housecount
Random,28421370.0,60
algoritme,score,housecount
Random,28111500.0,60
algoritme,score,housecount
Random,28131960.0,60
algoritme,score,housecount
Random,26313900.0,60
algoritme,score,housecount
Random,28350330.0,60
algoritme,score,housecount
Random,29766270.0,60
algoritme,score,housecount
Random,28793880.0,60
algoritme,score,housecount
Random,28546560.0,60
algoritme,score,housecount
Random,29655660.0,60
algoritme,score,housecount
Random,31229960.0,60
algoritme,score,housecount
Random,29397360.0,60
algoritme,score,housecount
Random,27745470.0,60
algoritme,score,housecount
Random,28567530.0,60
algoritme,score,housecount
Random,31158210.0,60
algoritme,score,housecount
Random,27160530.0,60
algoritme,score,housecount
Random,27022890.0,60
algoritme,score,housecount
Random,27196680.0,60
algoritme,score,housecount
Random,27875910.0,60
algoritme,score,housecount
Random,27383640.0,60
algoritme,score,housecount
Random,29311710.0,60
algoritme,score,housecount
Random,28379040.0,60
algoritme,score,housecount
Random,27841440.0,60
algoritme,score,housecount
Random,27275430.0,60
algoritme,score,housecount
Random,27768960.0,60
algoritme,score,housecount
Random,28334970.0,60
algoritme,score,housecount
Random,28854390.0,60
algoritme,score,housecount
Random,26669130.0,60
algoritme,score,housecount
Random,30911100.0,60
algoritme,score,housecount
Random,28711320.0,60
algoritme,score,housecount
Random,26829270.0,60
algoritme,score,housecount
Random,34347420.0,60
algoritme,score,housecount
Random,27683250.0,60
algoritme,score,housecount
Random,27904950.0,60
algoritme,score,housecount
Random,26838570.0,60
algoritme,score,housecount
Random,28284330.0,60
