algoritme;score;housecount;climb;swaps
266;26001045;60;15;3
267;26054985;60;13;1
268;26048145;60;2;1
269;26041875;60;18;1
270;26060175;60;19;2
271;26053155;60;6;1
272;26061705;60;14;1
273;26069685;60;17;2
274;26077095;60;16;1
275;26072820;60;20;2
276;26067975;60;10;1
277;26059425;60;12;1
278;26083365;60;13;1
279;26084745;60;14;2
280;26093295;60;2;1
281;26089020;60;4;2
282;26080470;60;12;1
283;26093295;60;13;2
284;26097000;60;19;3
285;26089020;60;19;1
286;26112960;60;15;1
287;26117235;60;19;1
288;26153835;60;9;1
289;26166660;60;12;2
290;26175210;60;19;3
291;26192310;60;8;1
292;26205135;60;13;2
293;26200860;60;14;1
294;26222235;60;3;1
295;26238195;60;16;1
296;26242470;60;17;2
297;26246745;60;10;1
298;26241270;60;2;1
299;26273190;60;9;1
300;26281170;60;6;1
301;26285445;60;9;2
302;26277465;60;17;3
303;26264640;60;13;1
304;26243265;60;19;2
305;26251245;60;2;1
306;26232435;60;4;2
307;26224455;60;6;3
308;26208495;60;17;1
309;26199945;60;3;1
310;26204220;60;15;1
311;26221320;60;18;2
312;26225595;60;19;3
313;26229870;60;19;1
314;26213910;60;3;1
315;26217615;60;12;2
316;26254215;60;13;3
317;26262195;60;16;4
318;26270175;60;5;1
319;26273880;60;17;2
320;26294520;60;1;1
321;26307345;60;14;2
322;26303640;60;15;1
323;26311620;60;11;1
324;26327580;60;18;1
325;26356200;60;13;1
326;26364180;60;2;1
327;26360475;60;7;2
328;26359905;60;3;1
329;26364180;60;8;2
330;26388120;60;10;1
331;26413770;60;17;1
332;26409495;60;14;1
333;26425455;60;20;1
334;26439480;60;9;1
335;26463420;60;9;1
336;26442045;60;15;2
337;26439480;60;1;1
338;26494380;60;15;2
339;26498655;60;19;3
340;26494380;60;11;1
341;26478420;60;15;2
342;26465595;60;10;1
343;26481555;60;16;2
344;26468730;60;1;1
345;26469300;60;6;2
346;26473575;60;13;1
347;26465595;60;6;1
348;26473575;60;12;1
