algoritme,score,housecount,water,iteratie,score,,
Random,23221305,60,"[[283, 105, 325, 79], [65, 225, 242, 101]]",79,23221305,,
Random,23223345,60,"[[247, 258, 343, 18]]",80,23223345,,
Random,23223600,60,"[[246, 291, 354, 189], [143, 168, 310, 96]]",81,23223600,,
Random,23224455,60,"[[82, 117, 168, 92], [17, 308, 64, 128], [216, 234, 326, 121]]",82,23224455,,
Random,23225055,60,"[[203, 313, 323, 121]]",83,23225055,,
Random,23225190,60,"[[124, 198, 252, 18]]",84,23225190,,
Random,23226585,60,"[[249, 301, 329, 13]]",85,23226585,,
Random,23227125,60,"[[18, 158, 60, 95], [254, 248, 357, 50]]",86,23227125,,
Random,23227230,60,"[[59, 158, 119, 94], [202, 259, 330, 109]]",87,23227230,,
Random,23227575,60,"[[244, 292, 334, 36]]",88,23227575,,
Random,23228490,60,"[[249, 278, 339, 22]]",89,23228490,,
Random,23229465,60,"[[114, 316, 194, 28]]",90,23229465,,
Random,23230125,60,"[[229, 303, 325, 63]]",91,23230125,,
Random,23231820,60,"[[17, 192, 81, 63], [123, 211, 235, 79]]",92,23231820,,
Random,23234040,60,"[[163, 281, 328, 179], [194, 67, 329, 21]]",93,23234040,,
Random,23234520,60,"[[24, 238, 216, 118]]",94,23234520,,
Random,23237925,60,"[[297, 262, 321, 199], [36, 319, 141, 152], [213, 114, 334, 81]]",95,23237925,,
Random,23238495,60,"[[79, 116, 319, 20]]",96,23238495,,
Random,23240130,60,"[[125, 188, 257, 20], [10, 292, 58, 274]]",97,23240130,,
Random,23240595,60,"[[74, 291, 266, 171]]",98,23240595,,
Random,23244150,60,"[[244, 256, 334, 0]]",99,23244150,,
Random,23244525,60,"[[285, 106, 307, 58], [203, 306, 326, 131], [252, 90, 279, 73]]",100,23244525,,
Random,23245215,60,"[[55, 216, 235, 88]]",101,23245215,,
Random,23247210,60,"[[236, 276, 326, 20]]",102,23247210,,
Random,23247345,60,"[[137, 306, 265, 126]]",103,23247345,,
Random,23248695,60,"[[147, 299, 243, 59]]",104,23248695,,
Random,23248860,60,"[[205, 298, 349, 138]]",105,23248860,,
Random,23249835,60,"[[75, 224, 195, 32]]",106,23249835,,
Random,23250105,60,"[[45, 122, 285, 26]]",107,23250105,,
Random,23250105,60,"[[125, 284, 253, 104]]",108,23250105,,
Random,23250615,60,"[[180, 287, 270, 31]]",109,23250615,,
Random,23252160,60,"[[210, 112, 325, 20], [233, 261, 322, 121]]",110,23252160,,
Random,23254065,60,"[[302, 317, 321, 242], [135, 277, 159, 183], [9, 278, 90, 39]]",111,23254065,,
Random,23254350,60,"[[103, 306, 263, 162]]",112,23254350,,
Random,23254770,60,"[[2, 147, 162, 3]]",113,23254770,,
Random,23255685,60,"[[37, 161, 229, 41]]",114,23255685,,
Random,23255940,60,"[[67, 238, 195, 58]]",115,23255940,,
Random,23256615,60,"[[45, 277, 205, 133]]",116,23256615,,
Random,23256810,60,"[[159, 96, 267, 44], [68, 320, 310, 248]]",117,23256810,,
Random,23256900,60,"[[192, 81, 261, 25], [17, 306, 153, 165]]",118,23256900,,
Random,23257200,60,"[[56, 215, 344, 135]]",119,23257200,,
Random,23258205,60,"[[172, 163, 217, 114], [10, 300, 103, 85], [321, 237, 341, 195]]",120,23258205,,
Random,23260890,60,"[[22, 293, 262, 197]]",121,23260890,,
Random,23260995,60,"[[190, 241, 318, 61]]",122,23260995,,
Random,23261655,60,"[[45, 88, 333, 8]]",123,23261655,,
Random,23262060,60,"[[223, 304, 351, 124]]",124,23262060,,
Random,23262285,60,"[[133, 284, 261, 104]]",125,23262285,,
Random,23262300,60,"[[121, 296, 281, 152]]",126,23262300,,
Random,23263380,60,"[[152, 314, 248, 74]]",127,23263380,,
Random,23264250,60,"[[59, 297, 149, 41]]",128,23264250,,
Random,23264520,60,"[[278, 313, 358, 151], [217, 225, 259, 193], [26, 285, 104, 173]]",129,23264520,,
Random,23264835,60,"[[19, 305, 49, 228], [21, 89, 150, 11], [193, 193, 333, 124], [221, 320, 277, 302]]",130,23264835,,
Random,23266035,60,"[[162, 170, 222, 149], [9, 306, 141, 141]]",131,23266035,,
Random,23267235,60,"[[47, 200, 227, 72]]",132,23267235,,
Random,23267430,60,"[[23, 168, 311, 88]]",133,23267430,,
Random,23268165,60,"[[49, 247, 181, 112], [277, 304, 335, 214]]",134,23268165,,
Random,23268600,60,"[[208, 211, 352, 51]]",135,23268600,,
Random,23272065,60,"[[213, 225, 354, 77], [53, 143, 113, 125], [334, 45, 360, 3]]",136,23272065,,
Random,23272320,60,"[[113, 249, 328, 192], [81, 121, 111, 99], [205, 80, 340, 5]]",137,23272320,,
Random,23272350,60,"[[157, 284, 277, 92]]",138,23272350,,
Random,23272620,60,"[[107, 269, 203, 29]]",139,23272620,,
Random,23273130,60,"[[176, 312, 271, 169], [58, 95, 213, 34]]",140,23273130,,
Random,23273490,60,"[[81, 135, 337, 45]]",141,23273490,,
Random,23273550,60,"[[273, 199, 333, 22], [48, 120, 186, 30]]",142,23273550,,
Random,23273985,60,"[[67, 320, 227, 176]]",143,23273985,,
Random,23274585,60,"[[28, 240, 188, 96]]",144,23274585,,
