algoritme,score,housecount,water,iteratie,score,,
Random,23556495,60,"[[73, 226, 193, 34]]",1333,23556495,,
Random,23556660,60,"[[96, 302, 199, 152], [147, 147, 235, 72], [302, 297, 357, 279]]",1334,23556660,,
Random,23556885,60,"[[189, 311, 303, 267], [282, 247, 358, 179], [217, 96, 326, 38], [103, 236, 157, 115]]",1335,23556885,,
Random,23556900,60,"[[203, 277, 337, 153], [75, 253, 148, 165]]",1336,23556900,,
Random,23557020,60,"[[77, 167, 237, 23]]",1337,23557020,,
Random,23557125,60,"[[18, 161, 198, 33]]",1338,23557125,,
Random,23557215,60,"[[0, 205, 256, 115]]",1339,23557215,,
Random,23557335,60,"[[70, 240, 214, 80]]",1340,23557335,,
Random,23557365,60,"[[163, 303, 343, 175]]",1341,23557365,,
Random,23557470,60,"[[43, 128, 283, 32]]",1342,23557470,,
Random,23557665,60,"[[22, 298, 262, 202]]",1343,23557665,,
Random,23557845,60,"[[112, 170, 304, 50]]",1344,23557845,,
Random,23557890,60,"[[54, 54, 221, 3], [289, 237, 359, 39], [47, 78, 98, 65]]",1345,23557890,,
Random,23557950,60,"[[143, 281, 347, 185], [155, 180, 203, 108]]",1346,23557950,,
Random,23557965,60,"[[88, 288, 176, 99], [253, 245, 342, 173]]",1347,23557965,,
Random,23557980,60,"[[52, 319, 171, 214], [123, 118, 308, 61]]",1348,23557980,,
Random,23558160,60,"[[113, 268, 258, 124], [71, 316, 101, 244]]",1349,23558160,,
Random,23558385,60,"[[95, 155, 335, 59]]",1350,23558385,,
Random,23558400,60,"[[23, 289, 79, 172], [277, 309, 331, 149], [196, 284, 268, 175]]",1351,23558400,,
Random,23558430,60,"[[91, 314, 211, 122]]",1352,23558430,,
Random,23558880,60,"[[111, 261, 255, 101]]",1353,23558880,,
Random,23558985,60,"[[149, 187, 277, 7]]",1354,23558985,,
Random,23559090,60,"[[145, 168, 305, 24]]",1355,23559090,,
Random,23559120,60,"[[25, 239, 153, 59]]",1356,23559120,,
Random,23559150,60,"[[32, 196, 320, 116]]",1357,23559150,,
Random,23559180,60,"[[130, 311, 220, 55]]",1358,23559180,,
Random,23559180,60,"[[171, 235, 299, 55]]",1359,23559180,,
Random,23559315,60,"[[111, 116, 210, 28], [129, 208, 328, 136]]",1360,23559315,,
Random,23559435,60,"[[58, 254, 186, 74]]",1361,23559435,,
Random,23559615,60,"[[117, 200, 277, 56]]",1362,23559615,,
Random,23559630,60,"[[112, 266, 272, 122]]",1363,23559630,,
Random,23559630,60,"[[6, 53, 26, 35], [108, 277, 160, 99], [213, 234, 353, 163], [250, 118, 317, 66]]",1364,23559630,,
Random,23559705,60,"[[96, 223, 256, 79]]",1365,23559705,,
Random,23559795,60,"[[15, 292, 159, 132]]",1366,23559795,,
Random,23559825,60,"[[57, 198, 201, 38]]",1367,23559825,,
Random,23559960,60,"[[219, 314, 315, 74]]",1368,23559960,,
Random,23560035,60,"[[3, 113, 9, 101], [113, 158, 287, 26]]",1369,23560035,,
Random,23560185,60,"[[264, 217, 291, 145], [91, 294, 197, 171], [9, 319, 88, 217]]",1370,23560185,,
Random,23560290,60,"[[155, 146, 335, 26], [106, 167, 151, 135]]",1371,23560290,,
Random,23560425,60,"[[231, 223, 272, 91], [288, 311, 349, 133], [138, 296, 188, 271], [182, 89, 262, 20]]",1372,23560425,,
Random,23560515,60,"[[151, 301, 271, 109]]",1373,23560515,,
Random,23560815,60,"[[178, 216, 338, 72]]",1374,23560815,,
Random,23560980,60,"[[22, 215, 107, 19], [112, 223, 144, 147], [167, 165, 251, 118]]",1375,23560980,,
Random,23561115,60,"[[186, 249, 346, 105]]",1376,23561115,,
Random,23561130,60,"[[43, 122, 252, 32], [305, 238, 350, 144]]",1377,23561130,,
Random,23561340,60,"[[93, 164, 253, 20]]",1378,23561340,,
Random,23561370,60,"[[10, 188, 250, 92]]",1379,23561370,,
Random,23561550,60,"[[10, 314, 298, 234]]",1380,23561550,,
Random,23562000,60,"[[206, 254, 334, 74]]",1381,23562000,,
Random,23562000,60,"[[92, 292, 348, 202]]",1382,23562000,,
Random,23562060,60,"[[74, 272, 218, 112]]",1383,23562060,,
Random,23562165,60,"[[93, 224, 253, 80]]",1384,23562165,,
Random,23562225,60,"[[134, 192, 261, 41], [231, 296, 245, 257], [92, 137, 123, 30]]",1385,23562225,,
Random,23562315,60,"[[68, 172, 212, 12]]",1386,23562315,,
Random,23562660,60,"[[42, 250, 234, 130]]",1387,23562660,,
Random,23563065,60,"[[91, 276, 331, 180]]",1388,23563065,,
Random,23563155,60,"[[138, 211, 258, 19]]",1389,23563155,,
Random,23563605,60,"[[74, 255, 234, 111]]",1390,23563605,,
Random,23563650,60,"[[222, 121, 236, 92], [114, 196, 158, 62], [205, 286, 345, 197], [269, 180, 338, 118]]",1391,23563650,,
Random,23563650,60,"[[131, 30, 201, 1], [284, 182, 310, 147], [83, 148, 165, 90], [145, 289, 257, 152]]",1392,23563650,,
Random,23563650,60,"[[86, 104, 131, 9], [142, 262, 277, 123]]",1393,23563650,,
Random,23563875,60,"[[177, 162, 357, 34]]",1394,23563875,,
Random,23563980,60,"[[191, 284, 335, 124]]",1395,23563980,,
Random,23564175,60,"[[33, 70, 53, 6], [211, 226, 242, 185], [17, 320, 97, 76], [118, 308, 135, 251]]",1396,23564175,,
Random,23564235,60,"[[270, 313, 339, 218], [139, 201, 244, 44]]",1397,23564235,,
Random,23564310,60,"[[25, 116, 73, 71], [176, 317, 321, 173]]",1398,23564310,,
Random,23564445,60,"[[89, 309, 172, 63], [212, 314, 245, 250], [19, 232, 36, 202]]",1399,23564445,,
Random,23564520,60,"[[169, 283, 329, 139]]",1400,23564520,,
Random,23564565,60,"[[37, 201, 107, 0], [252, 302, 321, 172]]",1401,23564565,,
Random,23564820,60,"[[76, 246, 135, 161], [59, 121, 86, 111], [68, 96, 333, 29]]",1402,23564820,,
Random,23564895,60,"[[117, 106, 357, 10]]",1403,23564895,,
Random,23564955,60,"[[345, 35, 351, 30], [6, 95, 301, 17]]",1404,23564955,,
Random,23565030,60,"[[267, 238, 339, 200], [103, 276, 197, 60]]",1405,23565030,,
Random,23565090,60,"[[110, 232, 350, 136]]",1406,23565090,,
Random,23565300,60,"[[151, 269, 281, 92], [313, 4, 323, 1]]",1407,23565300,,
Random,23565630,60,"[[160, 292, 174, 241], [78, 130, 248, 19], [323, 223, 359, 127]]",1408,23565630,,
Random,23565660,60,"[[126, 158, 282, 11], [47, 79, 65, 73]]",1409,23565660,,
Random,23565765,60,"[[169, 159, 329, 15]]",1410,23565765,,
Random,23565855,60,"[[240, 303, 290, 181], [3, 130, 168, 38], [200, 121, 280, 99]]",1411,23565855,,
Random,23565885,60,"[[9, 311, 60, 263], [60, 280, 159, 72]]",1412,23565885,,
Random,23565930,60,"[[9, 269, 107, 117], [188, 100, 219, 62], [135, 190, 297, 147]]",1413,23565930,,
Random,23565945,60,"[[25, 231, 95, 59], [42, 310, 128, 235], [131, 204, 181, 113]]",1414,23565945,,
Random,23565960,60,"[[87, 130, 113, 38], [126, 288, 242, 110]]",1415,23565960,,
Random,23566005,60,"[[129, 243, 144, 227], [114, 203, 234, 13]]",1416,23566005,,
Random,23566065,60,"[[74, 98, 300, 26], [224, 318, 271, 286], [82, 312, 176, 256]]",1417,23566065,,
Random,23566170,60,"[[47, 171, 173, 3], [25, 180, 36, 174], [193, 204, 244, 182], [235, 47, 253, 9]]",1418,23566170,,
Random,23566185,60,"[[196, 167, 340, 7]]",1419,23566185,,
Random,23566230,60,"[[58, 253, 142, 46], [172, 244, 223, 169], [214, 86, 277, 57]]",1420,23566230,,
Random,23566305,60,"[[45, 49, 162, 7], [110, 210, 281, 104]]",1421,23566305,,
Random,23566470,60,"[[179, 208, 299, 16]]",1422,23566470,,
Random,23566530,60,"[[176, 160, 222, 7], [244, 294, 339, 186], [47, 201, 105, 102]]",1423,23566530,,
Random,23566575,60,"[[124, 271, 220, 31]]",1424,23566575,,
Random,23566770,60,"[[42, 317, 171, 249], [229, 269, 345, 146]]",1425,23566770,,
Random,23566815,60,"[[33, 157, 73, 107], [298, 118, 359, 26], [246, 78, 268, 24], [155, 298, 244, 138]]",1426,23566815,,
Random,23566860,60,"[[110, 307, 270, 163]]",1427,23566860,,
Random,23566905,60,"[[91, 281, 168, 206], [101, 124, 167, 91], [202, 262, 343, 155]]",1428,23566905,,
Random,23567160,60,"[[4, 293, 260, 203]]",1429,23567160,,
Random,23567250,60,"[[70, 308, 139, 188], [163, 157, 217, 126], [140, 206, 156, 193], [235, 207, 329, 70]]",1430,23567250,,
Random,23567445,60,"[[122, 78, 212, 20], [145, 297, 231, 123], [306, 215, 348, 147]]",1431,23567445,,
Random,23567550,60,"[[151, 307, 311, 163]]",1432,23567550,,
Random,23567595,60,"[[81, 112, 127, 55], [131, 278, 214, 32]]",1433,23567595,,
Random,23567610,60,"[[251, 243, 341, 130], [62, 301, 192, 202]]",1434,23567610,,
Random,23567880,60,"[[9, 301, 189, 173]]",1435,23567880,,
Random,23567910,60,"[[15, 288, 90, 148], [126, 93, 291, 17]]",1436,23567910,,
Random,23567910,60,"[[43, 129, 331, 49]]",1437,23567910,,
Random,23568045,60,"[[147, 263, 237, 7]]",1438,23568045,,
Random,23568270,60,"[[106, 243, 202, 3]]",1439,23568270,,
Random,23568525,60,"[[278, 171, 320, 81], [113, 287, 203, 73]]",1440,23568525,,
Random,23568615,60,"[[142, 160, 322, 32]]",1441,23568615,,
Random,23568615,60,"[[23, 300, 86, 206], [197, 160, 237, 100], [257, 268, 323, 45]]",1442,23568615,,
Random,23568690,60,"[[43, 99, 103, 60], [127, 186, 277, 48]]",1443,23568690,,
Random,23568765,60,"[[23, 184, 263, 88]]",1444,23568765,,
Random,23568975,60,"[[87, 272, 183, 32]]",1445,23568975,,
Random,23569020,60,"[[15, 268, 175, 124]]",1446,23569020,,
Random,23569500,60,"[[152, 256, 248, 31], [75, 80, 93, 17], [114, 119, 132, 102]]",1447,23569500,,
Random,23569545,60,"[[37, 134, 325, 54]]",1448,23569545,,
Random,23569560,60,"[[146, 197, 213, 164], [249, 214, 356, 156], [242, 136, 357, 87], [97, 312, 181, 205]]",1449,23569560,,
Random,23569575,60,"[[69, 238, 189, 46]]",1450,23569575,,
Random,23569965,60,"[[57, 297, 153, 57]]",1451,23569965,,
Random,23569995,60,"[[238, 248, 334, 8]]",1452,23569995,,
Random,23570310,60,"[[31, 193, 191, 49]]",1453,23570310,,
Random,23570325,60,"[[28, 228, 156, 48]]",1454,23570325,,
Random,23570325,60,"[[87, 77, 222, 2], [78, 280, 201, 175]]",1455,23570325,,
Random,23570325,60,"[[55, 284, 235, 156]]",1456,23570325,,
Random,23570550,60,"[[245, 288, 300, 104], [145, 103, 335, 35]]",1457,23570550,,
Random,23570550,60,"[[77, 253, 122, 132], [226, 254, 341, 101]]",1458,23570550,,
Random,23571060,60,"[[247, 297, 327, 9]]",1459,23571060,,
Random,23571090,60,"[[189, 303, 246, 223], [147, 202, 323, 97]]",1460,23571090,,
Random,23571120,60,"[[9, 264, 105, 24]]",1461,23571120,,
Random,23571180,60,"[[177, 286, 275, 169], [139, 317, 174, 178], [56, 311, 100, 181], [81, 44, 104, 1]]",1462,23571180,,
Random,23571270,60,"[[235, 195, 315, 141], [21, 308, 141, 152]]",1463,23571270,,
Random,23571315,60,"[[91, 137, 331, 41]]",1464,23571315,,
Random,23571360,60,"[[202, 312, 330, 132]]",1465,23571360,,
Random,23571390,60,"[[115, 40, 255, 4], [23, 245, 80, 133], [304, 285, 343, 181], [89, 113, 197, 43]]",1466,23571390,,
Random,23571390,60,"[[8, 253, 136, 73]]",1467,23571390,,
Random,23571600,60,"[[185, 286, 264, 195], [228, 163, 337, 95], [207, 90, 304, 3]]",1468,23571600,,
Random,23571885,60,"[[56, 64, 87, 54], [188, 106, 306, 35], [101, 222, 309, 153]]",1469,23571885,,
Random,23572005,60,"[[183, 269, 343, 125]]",1470,23572005,,
Random,23572170,60,"[[232, 279, 324, 71], [103, 268, 164, 204]]",1471,23572170,,
Random,23572590,60,"[[113, 305, 201, 114], [35, 261, 111, 179]]",1472,23572590,,
Random,23572860,60,"[[242, 257, 338, 17]]",1473,23572860,,
Random,23572890,60,"[[19, 266, 68, 222], [95, 109, 322, 17]]",1474,23572890,,
Random,23572935,60,"[[45, 181, 85, 169], [176, 289, 334, 163], [184, 40, 252, 1]]",1475,23572935,,
Random,23573085,60,"[[43, 309, 97, 267], [246, 233, 336, 89], [190, 293, 268, 253], [29, 95, 97, 26]]",1476,23573085,,
Random,23573130,60,"[[3, 284, 153, 147], [55, 43, 138, 13]]",1477,23573130,,
Random,23573400,60,"[[81, 164, 235, 124], [153, 87, 343, 19], [10, 94, 109, 54]]",1478,23573400,,
Random,23573535,60,"[[34, 246, 226, 126]]",1479,23573535,,
Random,23573550,60,"[[68, 268, 212, 108]]",1480,23573550,,
Random,23573715,60,"[[18, 175, 147, 136], [264, 311, 351, 104]]",1481,23573715,,
Random,23573745,60,"[[129, 231, 249, 39]]",1482,23573745,,
Random,23573865,60,"[[85, 287, 153, 153], [225, 91, 268, 21], [259, 309, 328, 168], [143, 114, 172, 73]]",1483,23573865,,
Random,23573940,60,"[[20, 166, 99, 44], [234, 247, 267, 192], [161, 222, 208, 201], [190, 143, 296, 43]]",1484,23573940,,
Random,23574015,60,"[[25, 288, 144, 148], [307, 111, 354, 59], [289, 230, 330, 134]]",1485,23574015,,
Random,23574060,60,"[[118, 312, 278, 168]]",1486,23574060,,
Random,23574120,60,"[[67, 69, 292, 2], [96, 317, 141, 140]]",1487,23574120,,
Random,23574195,60,"[[159, 169, 319, 25]]",1488,23574195,,
Random,23574600,60,"[[44, 245, 224, 117]]",1489,23574600,,
Random,23574780,60,"[[22, 93, 142, 5], [58, 157, 253, 93]]",1490,23574780,,
Random,23574810,60,"[[19, 104, 259, 8]]",1491,23574810,,
Random,23574840,60,"[[237, 254, 357, 62]]",1492,23574840,,
Random,23575020,60,"[[16, 199, 256, 103]]",1493,23575020,,
Random,23575230,60,"[[11, 157, 139, 28], [78, 292, 214, 244]]",1494,23575230,,
Random,23575260,60,"[[169, 147, 331, 25], [60, 172, 151, 136]]",1495,23575260,,
Random,23575350,60,"[[129, 184, 248, 10], [167, 273, 208, 243], [85, 81, 119, 72], [32, 125, 53, 87]]",1496,23575350,,
Random,23575350,60,"[[26, 242, 186, 98]]",1497,23575350,,
Random,23575380,60,"[[139, 305, 229, 49]]",1498,23575380,,
Random,23575395,60,"[[114, 242, 294, 114]]",1499,23575395,,
Random,23575425,60,"[[3, 231, 131, 51]]",1500,23575425,,
Random,23575530,60,"[[165, 296, 357, 176]]",1501,23575530,,
Random,23575920,60,"[[55, 206, 185, 136], [68, 289, 203, 217], [240, 154, 283, 64], [278, 255, 292, 230]]",1502,23575920,,
Random,23575935,60,"[[195, 260, 355, 116]]",1503,23575935,,
Random,23576040,60,"[[189, 258, 279, 2]]",1504,23576040,,
Random,23576055,60,"[[86, 249, 246, 105]]",1505,23576055,,
Random,23576100,60,"[[30, 304, 286, 214]]",1506,23576100,,
Random,23576145,60,"[[78, 288, 334, 198]]",1507,23576145,,
Random,23576175,60,"[[105, 110, 145, 47], [157, 303, 337, 189]]",1508,23576175,,
Random,23576280,60,"[[108, 245, 228, 53]]",1509,23576280,,
Random,23576310,60,"[[201, 244, 321, 52]]",1510,23576310,,
Random,23576325,60,"[[283, 236, 315, 191], [18, 173, 162, 23]]",1511,23576325,,
Random,23576355,60,"[[156, 251, 252, 11]]",1512,23576355,,
Random,23576520,60,"[[232, 175, 272, 123], [225, 105, 261, 5], [307, 171, 355, 124], [32, 143, 160, 25]]",1513,23576520,,
Random,23576895,60,"[[117, 311, 245, 131]]",1514,23576895,,
Random,23577000,60,"[[18, 87, 42, 67], [178, 72, 225, 48], [225, 213, 339, 25]]",1515,23577000,,
Random,23577015,60,"[[21, 308, 277, 218]]",1516,23577015,,
Random,23577015,60,"[[149, 298, 229, 10]]",1517,23577015,,
Random,23577090,60,"[[271, 169, 351, 126], [6, 306, 181, 194]]",1518,23577090,,
Random,23577165,60,"[[295, 198, 359, 6], [72, 200, 184, 104]]",1519,23577165,,
Random,23577195,60,"[[212, 169, 356, 9]]",1520,23577195,,
Random,23577375,60,"[[125, 226, 316, 130], [33, 74, 131, 26]]",1521,23577375,,
Random,23577465,60,"[[66, 258, 238, 213], [155, 185, 359, 110]]",1522,23577465,,
Random,23577495,60,"[[36, 114, 97, 86], [105, 296, 281, 202], [64, 271, 100, 138]]",1523,23577495,,
Random,23577585,60,"[[89, 319, 209, 127]]",1524,23577585,,
Random,23577660,60,"[[176, 295, 320, 135]]",1525,23577660,,
Random,23577780,60,"[[30, 263, 98, 83], [202, 277, 352, 205]]",1526,23577780,,
Random,23577975,60,"[[100, 147, 260, 3]]",1527,23577975,,
Random,23578110,60,"[[16, 309, 47, 252], [206, 314, 315, 221], [63, 195, 127, 21]]",1528,23578110,,
Random,23578230,60,"[[149, 269, 220, 109], [8, 201, 88, 55]]",1529,23578230,,
Random,23578455,60,"[[177, 318, 267, 62]]",1530,23578455,,
Random,23578740,60,"[[231, 253, 348, 70], [54, 290, 75, 214], [17, 201, 28, 198]]",1531,23578740,,
Random,23579085,60,"[[18, 300, 210, 180]]",1532,23579085,,
Random,23579205,60,"[[20, 278, 260, 182]]",1533,23579205,,
Random,23579355,60,"[[102, 254, 162, 79], [18, 274, 75, 54]]",1534,23579355,,
Random,23579460,60,"[[23, 188, 203, 60]]",1535,23579460,,
Random,23579565,60,"[[85, 257, 171, 176], [188, 262, 285, 100], [315, 29, 345, 17]]",1536,23579565,,
Random,23579640,60,"[[65, 249, 209, 89]]",1537,23579640,,
Random,23579700,60,"[[39, 286, 199, 142]]",1538,23579700,,
Random,23579715,60,"[[8, 203, 264, 113]]",1539,23579715,,
Random,23579730,60,"[[257, 224, 353, 19], [105, 109, 175, 61]]",1540,23579730,,
Random,23579745,60,"[[1, 200, 181, 72]]",1541,23579745,,
Random,23579790,60,"[[44, 304, 188, 144]]",1542,23579790,,
Random,23579940,60,"[[75, 176, 219, 16]]",1543,23579940,,
Random,23580060,60,"[[163, 192, 343, 64]]",1544,23580060,,
Random,23580120,60,"[[173, 263, 353, 135]]",1545,23580120,,
Random,23580210,60,"[[42, 261, 186, 101]]",1546,23580210,,
Random,23580450,60,"[[204, 267, 324, 75]]",1547,23580450,,
Random,23580510,60,"[[111, 272, 359, 184], [126, 180, 164, 148]]",1548,23580510,,
Random,23580585,60,"[[35, 213, 179, 53]]",1549,23580585,,
Random,23580690,60,"[[185, 145, 345, 1]]",1550,23580690,,
Random,23580690,60,"[[68, 291, 324, 201]]",1551,23580690,,
Random,23580825,60,"[[54, 228, 294, 132]]",1552,23580825,,
Random,23580900,60,"[[173, 202, 353, 74]]",1553,23580900,,
Random,23581005,60,"[[29, 251, 185, 191], [194, 115, 306, 34], [319, 220, 355, 92]]",1554,23581005,,
Random,23581065,60,"[[182, 317, 206, 267], [228, 145, 284, 63], [23, 139, 177, 27]]",1555,23581065,,
Random,23581095,60,"[[220, 243, 348, 63]]",1556,23581095,,
Random,23581095,60,"[[60, 257, 268, 169], [61, 163, 189, 126]]",1557,23581095,,
Random,23581185,60,"[[13, 301, 141, 121]]",1558,23581185,,
Random,23581185,60,"[[139, 158, 283, 21], [303, 75, 349, 3]]",1559,23581185,,
Random,23581335,60,"[[22, 303, 262, 207]]",1560,23581335,,
Random,23581455,60,"[[53, 243, 149, 186], [198, 148, 320, 4]]",1561,23581455,,
Random,23581485,60,"[[20, 34, 81, 9], [53, 261, 106, 114], [151, 254, 339, 181]]",1562,23581485,,
Random,23581575,60,"[[88, 220, 168, 180], [115, 151, 275, 30], [310, 108, 326, 78]]",1563,23581575,,
Random,23581590,60,"[[134, 90, 163, 81], [165, 240, 251, 16], [139, 303, 234, 266]]",1564,23581590,,
Random,23581635,60,"[[83, 173, 263, 45]]",1565,23581635,,
Random,23581650,60,"[[204, 94, 255, 76], [162, 270, 323, 133], [259, 100, 272, 95]]",1566,23581650,,
Random,23581860,60,"[[240, 202, 340, 77], [84, 86, 134, 26], [13, 151, 71, 21]]",1567,23581860,,
Random,23581935,60,"[[144, 237, 304, 93]]",1568,23581935,,
Random,23581980,60,"[[66, 320, 210, 160]]",1569,23581980,,
Random,23582085,60,"[[168, 236, 328, 92]]",1570,23582085,,
Random,23582085,60,"[[208, 194, 328, 2]]",1571,23582085,,
Random,23582250,60,"[[10, 306, 154, 146]]",1572,23582250,,
Random,23582295,60,"[[178, 269, 274, 29]]",1573,23582295,,
Random,23582295,60,"[[64, 311, 352, 231]]",1574,23582295,,
Random,23582370,60,"[[104, 246, 264, 102]]",1575,23582370,,
Random,23582400,60,"[[17, 178, 161, 18]]",1576,23582400,,
Random,23582445,60,"[[125, 277, 317, 157]]",1577,23582445,,
Random,23582535,60,"[[92, 113, 332, 17]]",1578,23582535,,
Random,23582535,60,"[[141, 292, 321, 164]]",1579,23582535,,
Random,23582580,60,"[[165, 272, 265, 190], [173, 151, 313, 45]]",1580,23582580,,
Random,23582655,60,"[[22, 305, 150, 125]]",1581,23582655,,
Random,23582700,60,"[[136, 233, 256, 41]]",1582,23582700,,
Random,23582775,60,"[[92, 151, 272, 23]]",1583,23582775,,
Random,23582925,60,"[[47, 285, 175, 105]]",1584,23582925,,
Random,23582985,60,"[[112, 181, 256, 21]]",1585,23582985,,
Random,23583060,60,"[[14, 268, 92, 100], [275, 230, 316, 92], [206, 151, 252, 58]]",1586,23583060,,
Random,23583225,60,"[[190, 297, 286, 57]]",1587,23583225,,
Random,23583420,60,"[[121, 309, 313, 189]]",1588,23583420,,
Random,23583435,60,"[[152, 95, 233, 3], [85, 302, 223, 221], [218, 209, 263, 111]]",1589,23583435,,
Random,23583450,60,"[[133, 262, 233, 76], [28, 239, 65, 119]]",1590,23583450,,
Random,23583495,60,"[[151, 82, 321, 17], [89, 186, 307, 131]]",1591,23583495,,
Random,23583540,60,"[[75, 138, 255, 10]]",1592,23583540,,
Random,23583570,60,"[[6, 309, 294, 229]]",1593,23583570,,
Random,23583600,60,"[[85, 119, 133, 63], [78, 226, 255, 175], [269, 247, 344, 96]]",1594,23583600,,
Random,23584020,60,"[[40, 255, 184, 95]]",1595,23584020,,
Random,23584320,60,"[[117, 258, 305, 144], [141, 128, 208, 104]]",1596,23584320,,
Random,23584410,60,"[[128, 189, 256, 9]]",1597,23584410,,
Random,23584710,60,"[[178, 244, 322, 105], [48, 59, 104, 5]]",1598,23584710,,
Random,23584905,60,"[[93, 314, 229, 150], [102, 100, 125, 68]]",1599,23584905,,
Random,23585190,60,"[[239, 178, 265, 127], [31, 309, 108, 27]]",1600,23585190,,
Random,23585205,60,"[[104, 299, 194, 43]]",1601,23585205,,
Random,23585235,60,"[[110, 133, 308, 69], [164, 245, 260, 137]]",1602,23585235,,
Random,23585310,60,"[[254, 298, 287, 255], [123, 274, 170, 217], [125, 113, 356, 31]]",1603,23585310,,
Random,23585430,60,"[[93, 245, 253, 101]]",1604,23585430,,
Random,23585490,60,"[[61, 187, 117, 56], [134, 161, 198, 108], [258, 133, 312, 17], [119, 312, 175, 204]]",1605,23585490,,
Random,23585640,60,"[[62, 317, 176, 277], [106, 186, 326, 102]]",1606,23585640,,
Random,23585745,60,"[[34, 275, 144, 83], [155, 178, 179, 98]]",1607,23585745,,
Random,23585760,60,"[[240, 72, 337, 33], [179, 222, 310, 75]]",1608,23585760,,
Random,23585880,60,"[[109, 218, 269, 74]]",1609,23585880,,
Random,23585940,60,"[[99, 227, 196, 160], [233, 286, 352, 147]]",1610,23585940,,
Random,23586075,60,"[[52, 284, 170, 161], [239, 226, 326, 128]]",1611,23586075,,
Random,23586120,60,"[[29, 319, 56, 298], [93, 128, 320, 29]]",1612,23586120,,
Random,23586180,60,"[[67, 301, 355, 221]]",1613,23586180,,
Random,23586210,60,"[[129, 275, 273, 115]]",1614,23586210,,
Random,23586315,60,"[[110, 238, 290, 110]]",1615,23586315,,
Random,23586330,60,"[[152, 316, 344, 196]]",1616,23586330,,
Random,23586390,60,"[[73, 81, 136, 26], [117, 311, 342, 224]]",1617,23586390,,
Random,23586450,60,"[[165, 214, 345, 86]]",1618,23586450,,
Random,23586510,60,"[[120, 279, 360, 183]]",1619,23586510,,
Random,23586570,60,"[[26, 210, 146, 18]]",1620,23586570,,
Random,23586705,60,"[[117, 243, 297, 115]]",1621,23586705,,
Random,23587095,60,"[[74, 254, 170, 14]]",1622,23587095,,
Random,23587200,60,"[[29, 169, 199, 93], [219, 305, 347, 229], [218, 197, 232, 169]]",1623,23587200,,
Random,23587230,60,"[[34, 168, 194, 24]]",1624,23587230,,
Random,23587365,60,"[[249, 209, 327, 38], [17, 129, 171, 66]]",1625,23587365,,
Random,23587545,60,"[[230, 246, 302, 131], [41, 237, 205, 147]]",1626,23587545,,
Random,23587560,60,"[[103, 307, 263, 163]]",1627,23587560,,
Random,23587590,60,"[[53, 294, 171, 144], [198, 215, 207, 198], [237, 240, 294, 149]]",1628,23587590,,
Random,23587590,60,"[[151, 258, 171, 228], [128, 206, 348, 104]]",1629,23587590,,
Random,23587800,60,"[[94, 233, 222, 53]]",1630,23587800,,
Random,23587950,60,"[[84, 309, 340, 219]]",1631,23587950,,
Random,23587980,60,"[[73, 135, 259, 20], [16, 126, 71, 96]]",1632,23587980,,
Random,23588055,60,"[[77, 310, 142, 76], [229, 304, 356, 244], [155, 142, 165, 121]]",1633,23588055,,
Random,23588130,60,"[[264, 237, 349, 19], [64, 169, 174, 128]]",1634,23588130,,
Random,23588295,60,"[[130, 288, 220, 32]]",1635,23588295,,
Random,23588415,60,"[[113, 289, 233, 97]]",1636,23588415,,
Random,23588565,60,"[[7, 245, 127, 53]]",1637,23588565,,
Random,23588835,60,"[[56, 204, 200, 44]]",1638,23588835,,
Random,23588910,60,"[[210, 114, 267, 15], [316, 311, 343, 262], [125, 192, 202, 0], [104, 293, 134, 250]]",1639,23588910,,
Random,23588955,60,"[[27, 313, 75, 148], [136, 13, 147, 6], [3, 92, 224, 29], [158, 237, 214, 217]]",1640,23588955,,
Random,23589045,60,"[[143, 300, 231, 90], [91, 115, 110, 87], [102, 232, 140, 126]]",1641,23589045,,
Random,23589045,60,"[[271, 309, 321, 141], [61, 292, 244, 212]]",1642,23589045,,
Random,23589420,60,"[[174, 309, 334, 165]]",1643,23589420,,
Random,23589555,60,"[[107, 165, 267, 21]]",1644,23589555,,
Random,23589630,60,"[[251, 297, 331, 9]]",1645,23589630,,
Random,23589735,60,"[[62, 182, 324, 97], [125, 68, 160, 46]]",1646,23589735,,
Random,23589885,60,"[[259, 163, 353, 47], [273, 311, 302, 279], [102, 103, 158, 60], [135, 235, 215, 125]]",1647,23589885,,
Random,23590125,60,"[[148, 189, 271, 120], [1, 96, 232, 33]]",1648,23590125,,
Random,23590425,60,"[[53, 121, 105, 17], [288, 64, 304, 51], [93, 310, 154, 254], [209, 259, 345, 156]]",1649,23590425,,
Random,23590590,60,"[[75, 213, 195, 21]]",1650,23590590,,
Random,23590635,60,"[[55, 247, 151, 26], [220, 196, 296, 172]]",1651,23590635,,
Random,23590665,60,"[[28, 290, 172, 130]]",1652,23590665,,
Random,23590755,60,"[[235, 275, 331, 35]]",1653,23590755,,
Random,23591235,60,"[[46, 101, 334, 21]]",1654,23591235,,
Random,23591340,60,"[[95, 276, 255, 132]]",1655,23591340,,
Random,23591355,60,"[[61, 247, 317, 157]]",1656,23591355,,
Random,23591460,60,"[[43, 216, 120, 52], [130, 132, 249, 74], [190, 270, 255, 216]]",1657,23591460,,
Random,23591460,60,"[[259, 264, 355, 24]]",1658,23591460,,
