algoritme;score;housecount;climb;swaps
1;17356785;40;1;1
2;17386710;40;2;2
3;17405010;40;7;3
4;17440410;40;8;1
5;17432430;40;11;2
6;17466630;40;17;3
7;17522730;40;18;4
8;17632530;40;2;1
9;17651055;40;13;2
10;17655330;40;16;3
11;17646780;40;17;4
12;17708910;40;20;5
13;17679840;40;2;1
14;17887320;40;3;2
15;17942220;40;5;3
16;17957040;40;6;4
17;17948490;40;8;5
18;17995170;40;10;6
19;17981145;40;14;7
20;17985420;40;3;1
21;17951220;40;4;2
22;18003090;40;13;3
23;17996250;40;14;4
24;17991975;40;9;1
25;17952360;40;10;2
26;17912460;40;19;3
27;17933835;40;20;4
28;17945520;40;4;1
29;17954070;40;13;2
30;18002805;40;16;3
31;18024180;40;8;1
32;18037005;40;9;2
33;18015630;40;10;3
34;17972880;40;12;4
35;17964900;40;16;5
36;17972880;40;7;1
37;17997960;40;10;2
38;17976585;40;15;3
39;17989410;40;13;1
40;17971110;40;15;2
41;17980875;40;3;1
42;17999175;40;7;2
43;18003450;40;9;3
44;17995470;40;13;1
45;18013770;40;16;2
46;18043410;40;17;3
47;18061935;40;18;4
48;18070485;40;4;1
49;18051390;40;13;2
50;18030015;40;18;3
51;18025740;40;19;4
52;18033720;40;2;1
53;18029445;40;6;2
54;18037425;40;15;3
55;18033150;40;6;1
56;18106350;40;7;1
57;18100875;40;10;2
58;18083775;40;12;1
59;18085770;40;6;1
60;18067470;40;11;2
61;18088845;40;14;3
62;18080865;40;19;4
63;18121335;40;1;1
64;18157935;40;7;2
65;18145110;40;8;3
66;18169050;40;9;4
67;18177600;40;12;5
68;18209925;40;16;6
69;18214200;40;20;7
70;18276120;40;3;1
71;18301770;40;5;2
72;18298470;40;7;3
73;18316770;40;14;4
74;18320070;40;3;1
75;18299265;40;9;2
76;18307815;40;2;1
77;18324915;40;4;2
78;18401865;40;6;3
79;18425805;40;17;4
80;18438630;40;15;1
81;18447180;40;9;1
82;18455730;40;7;1
83;18442905;40;12;2
84;18447180;40;3;1
85;18451740;40;5;1
86;18524940;40;20;2
87;18521640;40;7;1
88;18517365;40;1;1
89;18509385;40;10;2
90;18524205;40;2;1
91;18562965;40;5;2
92;18570945;40;14;3
93;18568380;40;17;4
94;18581205;40;12;1
95;18584910;40;16;2
96;18576930;40;1;1
97;18594030;40;14;2
98;18608055;40;18;1
99;18626010;40;1;1
100;18649950;40;9;2
101;18658500;40;12;3
102;18662775;40;14;4
103;18684150;40;9;1
104;18709800;40;18;2
105;18714075;40;6;1
106;18722625;40;12;2
107;18726900;40;4;1
108;18731175;40;7;2
109;18749475;40;16;3
110;18758025;40;1;1
111;18775125;40;2;2
112;18779400;40;5;3
113;18809040;40;2;1
114;18785100;40;8;1
115;18766800;40;16;2
116;18769935;40;20;3
117;18774210;40;8;1
118;18792510;40;3;1
119;18783960;40;10;2
120;18765660;40;14;3
121;18774210;40;4;1
122;18795585;40;9;2
123;18767535;40;18;1
124;18750435;40;3;1
125;18741885;40;4;2
126;18737610;40;3;1
127;18720510;40;6;2
128;18707685;40;16;3
129;18705120;40;1;1
130;18700845;40;6;2
131;18705120;40;7;3
132;18717945;40;12;4
133;18752145;40;14;5
134;18737895;40;20;6
135;18742170;40;19;1
136;18728775;40;20;2
137;18733050;40;11;1
138;18737325;40;2;1
139;18725070;40;3;2
140;18713385;40;18;3
141;18704835;40;3;1
142;18682260;40;7;1
143;18686535;40;9;2
144;18665160;40;18;3
145;18713040;40;19;4
146;18749640;40;20;5
147;18756600;40;4;1
148;18778545;40;16;2
149;18795645;40;17;3
150;18808470;40;20;4
151;18817020;40;3;1
152;18831840;40;15;2
153;18836115;40;1;1
154;18843525;40;3;2
155;18916725;40;5;3
156;18929550;40;11;4
157;18940095;40;11;1
158;18979995;40;2;1
159;19054575;40;5;1
160;19058850;40;1;1
161;19096830;40;4;2
162;19093125;40;16;3
163;19085145;40;17;4
164;19079160;40;19;5
165;19083435;40;3;1
166;19107375;40;5;2
167;19114785;40;2;1
168;19132455;40;20;2
169;19143000;40;2;1
170;19142430;40;1;1
171;19159530;40;10;2
172;19158960;40;17;3
173;19171785;40;13;1
174;19210725;40;1;1
175;19214430;40;7;1
176;19211295;40;15;2
177;19258320;40;5;1
178;19262595;40;12;1
179;19258320;40;13;2
180;19262595;40;17;1
181;19271145;40;19;2
182;19279695;40;11;1
183;19275420;40;20;2
184;19295655;40;9;1
185;19309905;40;11;2
186;19304490;40;3;1
187;19250340;40;4;2
188;19230390;40;12;3
189;19217565;40;1;1
190;19213290;40;10;2
191;19209015;40;16;3
192;19200465;40;16;1
193;19182165;40;18;2
194;19156515;40;20;3
195;19135140;40;11;1
196;19139415;40;18;2
197;19193565;40;10;1
198;19173045;40;4;1
199;19214370;40;5;2
200;19210095;40;16;3
201;19222920;40;11;1
202;19192995;40;14;2
203;19170765;40;16;3
204;19189065;40;15;1
205;19165125;40;16;2
206;19191630;40;18;3
207;19201605;40;3;1
208;19175955;40;11;2
209;19167975;40;4;1
210;19155150;40;10;2
211;19147740;40;11;3
212;19177665;40;12;4
213;19169685;40;18;1
214;19148310;40;19;2
215;19178235;40;3;1
216;19199610;40;4;2
217;19233810;40;7;3
218;19225260;40;8;4
219;19246635;40;11;5
220;19238085;40;14;6
221;19258890;40;4;1
222;19250340;40;7;2
223;19246065;40;13;3
224;19237515;40;16;4
225;19238085;40;3;1
226;19215855;40;7;2
227;19228680;40;19;3
228;19215855;40;7;1
229;19207875;40;9;2
230;19244475;40;10;3
231;19240200;40;4;1
232;19256160;40;7;2
233;19264710;40;13;3
234;19261005;40;9;1
235;19248465;40;17;2
236;19280385;40;1;1
237;19293210;40;6;2
238;19310310;40;8;3
239;19344510;40;19;4
240;19374435;40;1;1
241;19390395;40;14;2
242;19386120;40;19;3
243;19403220;40;20;4
244;19394670;40;6;1
245;19419465;40;19;2
246;19423740;40;5;1
247;19415190;40;15;1
248;19436565;40;19;2
249;19445115;40;6;1
250;19436565;40;10;2
251;19430295;40;17;3
252;19438845;40;16;1
253;19443120;40;17;2
254;19459080;40;18;3
255;19471905;40;19;4
256;19510380;40;14;1
257;19519215;40;15;2
258;19523490;40;17;3
259;19547430;40;19;1
260;19555410;40;1;1
261;19563390;40;3;2
262;19554840;40;7;1
263;19550565;40;2;1
264;19582485;40;6;2
265;19600785;40;19;3
266;19624155;40;5;1
267;19636980;40;6;1
268;19641255;40;6;1
269;19666905;40;11;2
270;19674885;40;5;1
271;19679160;40;3;1
272;19687710;40;4;1
273;19669410;40;13;1
274;19660860;40;18;2
275;19665135;40;10;1
276;19666335;40;11;2
277;19658925;40;1;1
278;19650945;40;6;2
279;19687545;40;20;1
280;19652490;40;1;1
281;19632825;40;16;2
282;19640805;40;15;1
283;19624845;40;2;1
284;19639665;40;3;1
285;19648215;40;12;2
286;19633395;40;15;3
287;19641945;40;1;1
288;19654770;40;4;2
289;19638810;40;9;3
290;19620510;40;14;4
291;19615095;40;3;1
292;19627920;40;5;2
293;19635900;40;8;3
294;19648725;40;9;4
295;19635900;40;5;1
296;19631625;40;14;2
297;19611960;40;20;3
298;19603410;40;5;1
299;19619370;40;8;1
